 cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,smiles,inchikey,iupacname,exactmass,monoisotopicmass,charge,covalentunitcnt,isotopeatomcnt,totalatomstereocnt,definedatomstereocnt,undefinedatomstereocnt,totalbondstereocnt,definedbondstereocnt,undefinedbondstereocnt,pclidcnt,gpidcnt,gpfamilycnt,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
3587315,"1,1-Di(propan-2-yl)-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea","",440.600,C25H24N6S,98.900,663.000,3.600,32,1,5,3,"InChI=1S/C25H24N6S/c1-14(2)31(15(3)4)25(32)28-16-9-10-19-20(13-16)30-24-18-8-6-12-27-22(18)21-17(23(24)29-19)7-5-11-26-21/h5-15H,1-4H3,(H,28,32)",CC(C)N(C(C)C)C(=S)NC1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,LKVIDUSSJKDOAC-UHFFFAOYSA-N,"1,1-di(propan-2-yl)-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea",440.178,440.178,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050909,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3590452,"N-(4-methylphenyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",415.400,C26H17N5O,80.700,679.000,3.400,32,1,5,2,"InChI=1S/C26H17N5O/c1-15-6-9-17(10-7-15)29-26(32)16-8-11-20-21(14-16)31-25-19-5-3-13-28-23(19)22-18(24(25)30-20)4-2-12-27-22/h2-14H,1H3,(H,29,32)",CC1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,QLILIWLXPJNKOE-UHFFFAOYSA-N,"N-(4-methylphenyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",415.143,415.143,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050909,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3629373,"N-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylazepane-1-carboxamide","",422.500,C25H22N6O,83.900,667.000,2.600,32,1,5,1,"InChI=1S/C25H22N6O/c32-25(31-13-3-1-2-4-14-31)28-16-9-10-19-20(15-16)30-24-18-8-6-12-27-22(18)21-17(23(24)29-19)7-5-11-26-21/h5-12,15H,1-4,13-14H2,(H,28,32)",C1CCCN(CC1)C(=O)NC2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,ROTUVICHKDXRTL-UHFFFAOYSA-N,"N-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylazepane-1-carboxamide",422.186,422.186,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050909,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3887063,"N-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylmorpholine-4-carbothioamide","",426.500,C23H18N6OS,108.000,660.000,1.600,31,1,6,1,"InChI=1S/C23H18N6OS/c31-23(29-9-11-30-12-10-29)26-14-5-6-17-18(13-14)28-22-16-4-2-8-25-20(16)19-15(21(22)27-17)3-1-7-24-19/h1-8,13H,9-12H2,(H,26,31)",C1COCCN1C(=S)NC2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,VIQURIYBFGBHJW-UHFFFAOYSA-N,"N-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylmorpholine-4-carbothioamide",426.126,426.126,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050912,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3901608,"1,1-Dimethyl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea","",384.500,C21H16N6S,98.900,585.000,2.000,28,1,5,1,"InChI=1S/C21H16N6S/c1-27(2)21(28)24-12-7-8-15-16(11-12)26-20-14-6-4-10-23-18(14)17-13(19(20)25-15)5-3-9-22-17/h3-11H,1-2H3,(H,24,28)",CN(C)C(=S)NC1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,BWGMPPWVTDVJNK-UHFFFAOYSA-N,"1,1-dimethyl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea",384.116,384.116,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050912,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3929329,"N-(4-acetylphenyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",443.500,C27H17N5O2,97.700,768.000,2.700,34,1,6,3,"InChI=1S/C27H17N5O2/c1-15(33)16-6-9-18(10-7-16)30-27(34)17-8-11-21-22(14-17)32-26-20-5-3-13-29-24(20)23-19(25(26)31-21)4-2-12-28-23/h2-14H,1H3,(H,30,34)",CC(=O)C1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,UZRJWRWKLSPCBB-UHFFFAOYSA-N,"N-(4-acetylphenyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",443.138,443.138,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050912,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3950266,"1-Phenyl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylurea","",416.400,C25H16N6O,92.700,669.000,2.700,32,2,5,2,"InChI=1S/C25H16N6O/c32-25(28-15-6-2-1-3-7-15)29-16-10-11-19-20(14-16)31-24-18-9-5-13-27-22(18)21-17(23(24)30-19)8-4-12-26-21/h1-14H,(H2,28,29,32)",C1=CC=C(C=C1)NC(=O)NC2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,KWCLJUPJXDQHLA-UHFFFAOYSA-N,"1-phenyl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylurea",416.139,416.139,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050912,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3967067,"N,N-diethylquinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",381.400,C23H19N5O,71.900,596.000,2.400,29,0,5,3,"InChI=1S/C23H19N5O/c1-3-28(4-2)23(29)14-9-10-17-18(13-14)27-22-16-8-6-12-25-20(16)19-15(21(22)26-17)7-5-11-24-19/h5-13H,3-4H2,1-2H3",CCN(CC)C(=O)C1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,YAQXLDSUWPPVSE-UHFFFAOYSA-N,"N,N-diethylquinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",381.159,381.159,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050912,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4009232,"1,1-Bis(prop-2-enyl)-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylurea","",420.500,C25H20N6O,83.900,690.000,2.600,32,1,5,5,"InChI=1S/C25H20N6O/c1-3-13-31(14-4-2)25(32)28-16-9-10-19-20(15-16)30-24-18-8-6-12-27-22(18)21-17(23(24)29-19)7-5-11-26-21/h3-12,15H,1-2,13-14H2,(H,28,32)",C=CCN(CC=C)C(=O)NC1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,NAKOVCISOQRBEB-UHFFFAOYSA-N,"1,1-bis(prop-2-enyl)-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylurea",420.17,420.17,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050913,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4214778,"1-Propan-2-yl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea","",398.500,C22H18N6S,108.000,600.000,2.600,29,2,5,2,"InChI=1S/C22H18N6S/c1-12(2)25-22(29)26-13-7-8-16-17(11-13)28-21-15-6-4-10-24-19(15)18-14(20(21)27-16)5-3-9-23-18/h3-12H,1-2H3,(H2,25,26,29)",CC(C)NC(=S)NC1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,NJVTXDRZBSCFRA-UHFFFAOYSA-N,"1-propan-2-yl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea",398.131,398.131,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050913,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4263379,"N-(2,4,4-trimethylpentan-2-yl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",437.500,C27H27N5O,80.700,718.000,4.100,33,1,5,4,"InChI=1S/C27H27N5O/c1-26(2,3)15-27(4,5)32-25(33)16-10-11-19-20(14-16)31-24-18-9-7-13-29-22(18)21-17(23(24)30-19)8-6-12-28-21/h6-14H,15H2,1-5H3,(H,32,33)",CC(C)(C)CC(C)(C)NC(=O)C1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,IESVBUIMWXGWFQ-UHFFFAOYSA-N,"N-(2,4,4-trimethylpentan-2-yl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",437.222,437.222,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050913,ABI Chem|ChemDB|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4275780,"Pyrrolidin-1-yl(quinoxalino[3,2-f][1,10]phenanthrolin-11-yl)methanone","",379.400,C23H17N5O,71.900,622.000,2.100,29,0,5,1,"InChI=1S/C23H17N5O/c29-23(28-11-1-2-12-28)14-7-8-17-18(13-14)27-22-16-6-4-10-25-20(16)19-15(21(22)26-17)5-3-9-24-19/h3-10,13H,1-2,11-12H2",C1CCN(C1)C(=O)C2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,QVBKQWORHJMHCV-UHFFFAOYSA-N,"pyrrolidin-1-yl(quinoxalino[3,2-f][1,10]phenanthrolin-11-yl)methanone",379.143,379.143,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050914,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4291197,"N-(3-nitrophenyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",446.400,C25H14N6O3,126.000,776.000,2.800,34,1,7,2,"InChI=1S/C25H14N6O3/c32-25(28-15-4-1-5-16(13-15)31(33)34)14-8-9-19-20(12-14)30-24-18-7-3-11-27-22(18)21-17(23(24)29-19)6-2-10-26-21/h1-13H,(H,28,32)",C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)C2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,UHSXELKVKIAXDT-UHFFFAOYSA-N,"N-(3-nitrophenyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",446.113,446.113,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050914,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4320649,"N,N-di(propan-2-yl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",409.500,C25H23N5O,71.900,646.000,3.200,31,0,5,3,"InChI=1S/C25H23N5O/c1-14(2)30(15(3)4)25(31)16-9-10-19-20(13-16)29-24-18-8-6-12-27-22(18)21-17(23(24)28-19)7-5-11-26-21/h5-15H,1-4H3",CC(C)N(C(C)C)C(=O)C1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,JJANGJBBZMICDO-UHFFFAOYSA-N,"N,N-di(propan-2-yl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",409.19,409.19,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050914,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4372878,"1-(2-Hydroxyethyl)-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea","",400.500,C21H16N6OS,128.000,594.000,1.100,29,3,6,3,"InChI=1S/C21H16N6OS/c28-10-9-24-21(29)25-12-5-6-15-16(11-12)27-20-14-4-2-8-23-18(14)17-13(19(20)26-15)3-1-7-22-17/h1-8,11,28H,9-10H2,(H2,24,25,29)",C1=CC2=C(C3=C(C=CC=N3)C4=NC5=C(C=CC(=C5)NC(=S)NCCO)N=C24)N=C1,HRUNPQHAMZZPDO-UHFFFAOYSA-N,"1-(2-hydroxyethyl)-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea",400.111,400.111,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050914,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4426809,"N-(3,4-dimethylphenyl)-N-methylquinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",443.500,C28H21N5O,71.900,746.000,3.900,34,0,5,2,"InChI=1S/C28H21N5O/c1-16-8-10-19(14-17(16)2)33(3)28(34)18-9-11-22-23(15-18)32-27-21-7-5-13-30-25(21)24-20(26(27)31-22)6-4-12-29-24/h4-15H,1-3H3",CC1=C(C=C(C=C1)N(C)C(=O)C2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5)C,GVEITCOZRTXOKJ-UHFFFAOYSA-N,"N-(3,4-dimethylphenyl)-N-methylquinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",443.175,443.175,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050914,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4592455,"N-(4-methoxyphenyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",431.400,C26H17N5O2,89.900,698.000,3.000,33,1,6,3,"InChI=1S/C26H17N5O2/c1-33-17-9-7-16(8-10-17)29-26(32)15-6-11-20-21(14-15)31-25-19-5-3-13-28-23(19)22-18(24(25)30-20)4-2-12-27-22/h2-14H,1H3,(H,29,32)",COC1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,NMVFMDPESTWUMR-UHFFFAOYSA-N,"N-(4-methoxyphenyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",431.138,431.138,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050916,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
4689329,"1-Tert-butyl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea","",412.500,C23H20N6S,108.000,636.000,2.800,30,2,5,2,"InChI=1S/C23H20N6S/c1-23(2,3)29-22(30)26-13-8-9-16-17(12-13)28-21-15-7-5-11-25-19(15)18-14(20(21)27-16)6-4-10-24-18/h4-12H,1-3H3,(H2,26,29,30)",CC(C)(C)NC(=S)NC1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,AYCVCACGUFXJJG-UHFFFAOYSA-N,"1-tert-butyl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea",412.147,412.147,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050916,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
